English,Italian,Table,Column,Table_2,Column_2,Table_3,Column_3
sauteed eggplants (shakshuka),Melanzane saltate (shakshuka),Recipe,Name,,,,
mint dip (haydari),Crema alla menta (haydari),Recipe,Name,,,,
roasted eggplant salad,Insalata di melanzane arrosto,Recipe,Name,,,,
zucchini salad,Insalata di zucchini,Recipe,Name,,,,
kidney bean salad,Insalata di fagioli borlotti,Recipe,Name,,,,
roasted pepper rolls with cheese,Involtini di peperoni al forno con formaggio,Recipe,Name,,,,
spoon salad,Insalata al cucchiaio,Recipe,Name,,,,
chickpeas dip (hummus),Crema di ceci (hummus),Recipe,Name,,,,
circassian chicken,Pollo alla circassa,Recipe,Name,,,,
cretan paste,Crema cretese,Recipe,Name,,,,
eggplants dip (babaganoush),Crema di melanzane (babaganoush),Recipe,Name,,,,
spinach phyllo pastry (borek),Sfoglia agli spinaci (borek),Recipe,Name,,,,
hot vegetarian burgers (yalanci cig kofte),Polpette piccanti vegetariane (yalanci cig kofte),Recipe,Name,,,,
cheese stuffed mushrooms,Funghi ripieni al formaggio,Recipe,Name,,,,
root celery salad,Insalata di sedano rapa,Recipe,Name,,,,
shrimp salad,Insalata di gamberetti,Recipe,Name,,,,
zucchini burger (kolokithokeftedes),Polpette di zucchini (kolokithokeftedes),Recipe,Name,,,,
hot feta dip (tirokafteri),Crema piccante alla feta (tirokafteri),Recipe,Name,,,,
rhum cake,Torta al rum,Recipe,Name,,,,
falafel,Falafel,Recipe,Name,,,,
indian style okra,Okra in stile indiano,Recipe,Name,,,,
chicken curry,Pollo al curry,Recipe,Name,,,,
pakistani style rice (channa pulao),Riso alla pakistana (channa pulao),Recipe,Name,,,,
lamb skewers with vegetables,Spiedini di agnello con verdure,Recipe,Name,,,,
carrot dip (tarator),Crema di carote (tarator),Recipe,Name,,,,
baked eggplants with cheese,Melanzane al forno con formaggio,Recipe,Name,,,,
tomato baskets with cheese,Pomodori ripieni al formaggio,Recipe,Name,,,,
curry sauced shrimps,Gamberi alla salsa curry,Recipe,Name,,,,
kebap with pistachios and fresh basil,Kebab con pistacchio e basilico,Recipe,Name,,,,
greek style mussels in red sauce (mydia saganaki),Cozze alla greca in salsa rossa (mydia saganaki),Recipe,Name,,,,
cretan style stuffed calamari,Calamari ripieni alla cretese,Recipe,Name,,,,
crescione romagnolo with samosa filling,Crescione romagnolo con ripieno di samosa,Recipe,Name,,,,
armenian eggplant,Melanzane alla armena,Recipe,Name,,,,
armenian phyllo pastry,Sfoglia alla armena,Recipe,Name,,,,
walnut mushroom taco,Taco alle noci e funghi,Recipe,Name,,,,
carrot ribbons,Nastri di carote,Recipe,Name,,,,
spinach cheese,Formaggio di spinaci,Recipe,Name,,,,
pumpkin noodles,Spaghetti di zucca,Recipe,Name,,,,
thai chicken in green curry,Pollo alla tailandese con curry verde,Recipe,Name,,,,
indonesian rice,Riso alla indonesiana,Recipe,Name,,,,
vegetable cous cous,Cous cous vegetariano,Recipe,Name,,,,
guacamole,Guacamole,Recipe,Name,,,,
morcilla de verano,Salsiccia estiva,Recipe,Name,,,,
swans of lake Sarmasi (lahana sarmasi),Cigni del lago Sarmasi (lahana sarmasi),Recipe,Name,,,,
moist orange cake with mastic cream,Torata alla arancia con crema di mastica,Recipe,Name,,,,
mediterranean olive tapenade,Tapenade mediterranea alle olive,Recipe,Name,,,,
carrot dip with bell pepper (biberli tarator),Crema di carote ai peperoni (biberli tarator),Recipe,Name,,,,
eggplant and green lentils stew (mualle),Stufato di melanzane e lenticchie verdi (mualle),Recipe,Name,,,,
potatoes dough rolls,Involtini di pasta di patate,Recipe,Name,,,,
salmorejo,Salmorejo,Recipe,Name,,,,
ajoblanco,Ajoblanco,Recipe,Name,,,,
cheese tart with mastic,Torta al formaggio alla mastica,Recipe,Name,,,,
salmon with crust of pine nuts and mastic sauce,Salmone con sfoglia di pinoli e crema alla mastica,Recipe,Name,,,,
